text,sentiment
I absolutely loved this product,Positive
The service was excellent,Positive
Amazing experience,Positive
I am very happy with the purchase,Positive
This product is wonderful,Positive
The quality is fantastic,Positive
Really enjoyed using it,Positive
Excellent customer service,Positive
I would definitely recommend it,Positive
Very satisfied with the experience,Positive
The product works perfectly,Positive
I am impressed with the quality,Positive
This was a great purchase,Positive
Fantastic experience overall,Positive
I love this product,Positive
The delivery was quick and excellent,Positive
Very useful and easy to use,Positive
The staff was friendly,Positive
This is one of my best purchases,Positive
Extremely happy with the result,Positive
The product is terrible,Negative
I hated the experience,Negative
Very poor quality,Negative
The service was horrible,Negative
I am extremely disappointed,Negative
This product does not work,Negative
Worst purchase ever,Negative
The experience was frustrating,Negative
I would not recommend this,Negative
The quality is very bad,Negative
Completely dissatisfied,Negative
The service was disappointing,Negative
This was a waste of money,Negative
The product broke immediately,Negative
Very unhappy with the purchase,Negative
Terrible customer service,Negative
I regret buying this,Negative
The product is useless,Negative
Very poor experience,Negative
I am not satisfied at all,Negative
The product arrived today,Neutral
The service was provided yesterday,Neutral
I received the package,Neutral
The product is available,Neutral
The store opens at nine,Neutral
I used the product today,Neutral
The order was delivered,Neutral
The phone is on the table,Neutral
The customer visited the store,Neutral
The product costs five hundred,Neutral
The package contains a charger,Neutral
The shop is near my house,Neutral
The delivery took two days,Neutral
The application is installed,Neutral
The meeting starts at ten,Neutral
The product has three colors,Neutral
The store is open today,Neutral
The customer placed an order,Neutral
The item is currently available,Neutral
